Subject,Grade,Standard,Prepared Graduate 1,Prepared Graduate 2,Prepared Graduate 3,Prepared Graduate 4,Prepared Graduate 5,Grade Level Expectation,GLE Code,Subheading,Statement
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Attend to language during conversations, songs, stories or other learning experiences."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Comprehend increasingly complex and varied vocabulary.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Follow two- to three-step directions.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Supportive Teaching Practices/Adults May:,"Create opportunities for children to learn to use and recognize precise vocabulary that relates to math, science, art, and social experiences."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Supportive Teaching Practices/Adults May:,"Frequently read books with rich descriptive vocabulary, exploring and extending children's understanding of the meaning of new words."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Supportive Teaching Practices/Adults May:,"Talk with individual children often, encouraging them to express their ideas, needs and feelings, and ask them questions."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Supportive Teaching Practices/Adults May:,"Provide a rich variety of frequently repeated songs, poems, finger plays, and storytelling, which encourage children's participation and exposes them to many cultures."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Supportive Teaching Practices/Adults May:,Provide a daily routine wherein simple directions are given for children to follow on a regular basis.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Examples of Learning/Children May:,"At the sensory table, children use various tools and instruments, such as tubes, scoops, funnels, and eggbeaters, to explore and describe the manipulation of water with the support of the paraprofessional who uses parallel talk to model (e.g., ""Billy, you're using the eggbeater to whip the water."")"
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Examples of Learning/Children May:,"On a trip to a pumpkin farm, the farmer talks to the children about planting, using words like tractor, hoe, growing season, and fertilizer. Later that week, Mark uses the toy garden hoe in the sand and tells another child to ""Get the fertilizer."""
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Examples of Learning/Children May:,"When asked whether she wants a snack before playing, Angela uses her communication board to indicate her choice of the snack first."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,1. Children comprehend and understand the English language (Receptive Language).,RW.P.1.1,Examples of Learning/Children May:,"Every day, Marius enters the classroom and hangs up his backpack and jacket. Sometimes he needs a reminder to wash his hands before choosing an activity."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Participate in conversations of more than three exchanges with peers and adults.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Use language to express ideas and needs.
